daily,average
6900719,6863082
7044726,6885357
7212522,6909880
7346875,6934342
7370956,6959606
7394765,6982064
7394765,7000818
7396152,7016264
7431702,7031901
7510045,7048085
7659181,7066598
7761902,7086558
7897039,7109622
8040238,7135811
8040238,7162537
8207981,7194856
8331562,7232957
8402574,7273426
8391812,7317272
8270378,7360866
8065964,7402026
8065964,7446668
7840470,7486389
7648915,7519724
7494832,7549476
7249768,7572088
7098196,7587081
7098196,7602074
6934048,7608312
6793437,7609864
6658459,7601788
6548789,7585257
6548789,7563133
6535145,7536075
6593565,7510162
6658059,7485605
6759867,7464442
6863109,7446674
6946531,7430501
7004619,7413654
7087677,7394604
7087677,7372129
7165190,7347734
7165190,7318566
7245669,7292081
7305115,7261985
7395774,7230792
7395774,7197232
7436719,7165396
7499674,7139706
7472383,7119920
7472383,7100133
7341325,7083495
7240483,7069881
7113703,7057177
7071656,7051240
7045581,7049486
7000962,7046245
7000962,7048475
7028847,7056322
7096287,7070916
7144191,7090763
7144191,7110610
7218272,7133381
7313155,7157367
7357764,7180691
7404142,7202166
7404142,7220201
7407726,7235574
7407726,7249011
7366508,7258305
7358459,7267331
7358459,7273774
7341327,7279645
7421800,7285516
7509372,7292324
7556274,7297674
7662056,7306550
7754630,7317148
7796235,7327033
7796235,7337828
7831455,7349797
7816354,7365631
7816354,7384827
7824310,7408514
7706064,7429661
7685054,7450977
7697933,7474209
7697933,7497441
7803461,7523262
7949232,7551693
8020847,7580915
8030946,7610474
8030946,7637563
7957707,7659048
7802709,7673879
7802709,7687165
7631894,7694757
7548863,7699461
7591786,7705597
7773580,7719166
7999365,7740529
8218091,7769184
8445081,7805975
8640659,7846604
8801327,7889669
8919440,7935108
8980797,7979066
9027025,8021479
8982076,8061007
8944004,8099266
8938037,8136152
8878365,8171553
8818010,8204941
8818010,8238065
8679115,8270500
8490179,8297337
8225439,8314921
8016598,8325543
7839127,8326732
7669342,8317402
7669342,8305685
7546346,8289532
7506156,8272039
7521590,8257502
7521590,8248131
7499357,8238019
7543023,8235057
7569092,8235731
7618657,8236627
7705155,8234346
7763788,8226493
7763788,8211350
7806653,8190069
7897179,8165286
7967333,8137487
8048618,8108459
8225152,8083271
8394403,8062184
8578129,8048719
8536315,8035129
8575204,8023035
8584506,8013239
8632822,8007066
8688502,8002750
8760205,8005453
8906499,8019330
9036032,8046350
9159290,8084439
9296742,8133027
9396951,8190613
9444086,8249772
9350010,8309894
9424183,8373828
9442727,8437866
9460314,8502490
9495271,8569020
9526211,8635127
9526196,8700364
9474688,8762231
9490449,8821741
9448552,8877900
9405350,8932619
9390441,8985412
9320889,9032869
9284474,9076773
9177177,9114392
9034659,9141375
8865703,9157085
8726374,9162027
8579942,9163481
8462323,9159718
8312351,9150647
8124685,9133709
8124685,9114915
7927426,9087156
7749112,9048576
7632682,9001798
7587203,8949395
7568965,8891802
